Data,CHF,EUR,GBP,USD,GOLD
43270,4.0578,4.6663,5.3256,4.042,166.2749
43269,4.036,4.6662,5.331,4.024,165.675
43266,4.029,4.6618,5.3339,4.0162,167.8667
43265,4.0129,4.6656,5.3012,3.9462,165.6222
43264,4.0183,4.6647,5.2936,3.9701,165.2139
43263,4.0139,4.6587,5.294,3.9497,164.8718
43262,4.0067,4.6586,5.2837,3.9518,164.5724
43259,4.0277,4.6582,5.3124,3.9589,165.4022
43258,4.0128,4.6564,5.2998,3.9379,164.4251
43257,4.0075,4.6513,5.3079,3.9535,164.6495
43256,4.0334,4.6531,5.3227,3.977,165.2421
43255,4.0329,4.6566,5.3164,3.9713,165.2384
