Data,CHF,EUR,GBP,USD,GOLD
43838,4.4161,4.7776,5.6356,4.2923,218.2474
43837,4.3995,4.775,5.619,4.2741,215.1227
43836,4.4033,4.776,5.6145,4.2658,216.2917
43833,4.4084,4.7789,5.613,4.2922,213.7734
43830,4.4033,4.7793,5.6088,4.2608,208.5985
43829,4.39,4.7785,5.5984,4.2698,207.5741
43826,4.3919,4.7799,5.6049,4.29,208.4202
43823,4.3942,4.7794,5.5824,4.3168,206.9494
43822,4.3883,4.7716,5.5874,4.3036,205.435
43819,4.3797,4.7736,5.6025,4.2951,203.9749
43818,4.3734,4.774,5.6168,4.288,203.233
43817,4.3786,4.7773,5.6227,4.2911,204.0485
43816,4.3607,4.7769,5.6531,4.2831,203.6828
43815,4.3622,4.7781,5.7295,4.2878,203.6833
43812,4.3448,4.7786,5.7198,4.2746,202.1797
43811,4.3703,4.7791,5.6655,4.2931,203.5745
43810,4.3785,4.7794,5.6715,4.3124,203.4229
43809,4.3771,4.7787,5.6852,4.3149,203.2034
43808,4.359,4.7777,5.684,4.3149,203.0272
43805,4.3582,4.7785,5.6554,4.3069,204.2895
43804,4.3562,4.7764,5.6549,4.3067,204.0945
43803,4.362,4.7744,5.6236,4.3117,204.8011
43802,4.3584,4.7762,5.597,4.3143,203.9954
43801,4.34,4.7777,5.5965,4.3378,203.0518
43798,4.3443,4.7781,5.5999,4.3425,203.3507
43797,4.3461,4.7788,5.6119,4.3394,203.3589
43796,4.3505,4.7792,5.593,4.3422,203.8477
43795,4.3472,4.7765,5.5735,4.3356,203.2127
43794,4.3441,4.7722,5.5805,4.3325,203.2162
43791,4.3412,4.7729,5.558,4.316,204.0654
43790,4.3531,4.7808,5.585,4.3144,203.6385
43789,4.3546,4.7776,5.5732,4.3172,204.7771
43788,4.3522,4.7759,5.581,4.3145,203.3031
43787,4.3586,4.7729,5.5938,4.3159,202.326
43784,4.3685,4.7667,5.5647,4.3224,203.6272
43783,4.3832,4.7669,5.574,4.3343,204.6051
43782,4.3682,4.7635,5.5596,4.3251,203.5824
43781,4.341,4.7619,5.5448,4.3202,202.0404
43780,4.3386,4.7627,5.5297,4.3164,203.467
43777,4.3304,4.7615,5.527,4.3137,203.3805
43776,4.3288,4.7597,5.5246,4.2932,204.8362
43775,4.3255,4.7626,5.5344,4.2949,205.3117
43774,4.3138,4.754,5.5154,4.2742,206.7789
43773,4.3104,4.755,5.5022,4.26,206.8812
43770,4.3217,4.7545,5.5253,4.267,207.1927
43769,4.3163,4.7576,5.5189,4.2614,206.2074
43768,4.312,4.7572,5.513,4.2765,205.3068
43767,4.3111,4.7567,5.5064,4.2927,205.1682
43766,4.309,4.7569,5.5009,4.2876,207.5084
43763,4.3151,4.7563,5.4913,4.2784,206.9714
43762,4.3115,4.7528,5.5035,4.2708,204.3941
43761,4.3275,4.76,5.5029,4.2821,205.6304
43760,4.3205,4.7601,5.5266,4.2726,204.3163
43759,4.326,4.7592,5.5323,4.2607,204.2784
43756,4.3243,4.7556,5.5125,4.2732,204.4044
43755,4.3002,4.755,5.5278,4.2719,203.9407
43754,4.3166,4.7537,5.4855,4.3082,205.4935
43753,4.3241,4.7524,5.455,4.3164,207.4267
43752,4.3279,4.7536,5.4061,4.3072,206.8906
43749,4.3262,4.7582,5.4003,4.3186,207.601
43748,4.3427,4.7498,5.277,4.3074,208.8708
43747,4.3526,4.7502,5.2877,4.3252,208.8533
43746,4.3565,4.7479,5.2922,4.3212,208.5476
43745,4.3542,4.7472,5.322,4.3268,209.0175
43742,4.3441,4.7483,5.337,4.3241,209.7582
43741,4.3318,4.7483,5.3286,4.3361,209.2552
43740,4.3519,4.7499,5.3244,4.3519,207.6268
43739,4.3555,4.7512,5.3583,4.3605,205.6787
43738,4.3759,4.7511,5.3546,4.3488,208.1085
43735,4.3806,4.7505,5.3412,4.3479,209.2147
43734,4.3667,4.746,5.3443,4.3418,210.4806
43733,4.3757,4.7439,5.3652,4.3132,212.3008
43732,4.3634,4.7485,5.385,4.3174,211.1197
43731,4.3658,4.7491,5.3826,4.3248,211.1723
43728,4.3319,4.7432,5.3799,4.2921,207.5291
43727,4.3236,4.7415,5.3458,4.2846,206.2276
43726,4.3067,4.7354,5.3426,4.2876,207.1445
43725,4.3226,4.7352,5.3288,4.2979,207.122
43724,4.3235,4.734,5.3251,4.2803,206.9204
43721,4.3212,4.7354,5.3123,4.2654,206.5613
43720,4.3363,4.7363,5.2937,4.2946,207.7122
43719,4.3231,4.734,5.3093,4.2933,206.1038
43718,4.3282,4.7318,5.2816,4.2843,205.9411
43717,4.3296,4.732,5.2931,4.2862,207.9968
43714,4.3338,4.7332,5.2779,4.2908,207.5519
43713,4.3596,4.73,5.269,4.2827,212.3251
43712,4.3571,4.7272,5.2249,4.2926,212.3704
43711,4.3644,4.7273,5.18,4.3195,212.9744
43710,4.3452,4.723,5.2067,4.3089,211.2342
43707,4.3323,4.7294,5.2212,4.2827,210.193
43706,4.3403,4.7277,5.2067,4.2688,211.1312
43705,4.3425,4.7305,5.2078,4.2638,211.5392
43704,4.3477,4.7322,5.2197,4.2606,209.6761
43703,4.3395,4.7251,5.2041,4.2521,208.6733
43700,4.3268,4.7216,5.2121,4.2706,205.4478
43699,4.3396,4.726,5.1738,4.2652,205.2594
43698,4.346,4.7274,5.1683,4.2601,205.378
43697,4.3593,4.7305,5.1654,4.2682,206.302
43696,4.3494,4.7284,5.1609,4.2575,205.1029
43693,4.3506,4.7274,5.183,4.2656,207.0308
43691,4.3355,4.7216,5.1033,4.2238,203.8174
43690,4.3543,4.727,5.0921,4.2173,207.4267
43689,4.3428,4.7265,5.1009,4.2265,204.4058
43686,4.3376,4.7273,5.1081,4.2184,203.8826
43685,4.3268,4.7307,5.1317,4.2197,203.0148
43684,4.3214,4.7309,5.1345,4.2308,202.1739
43683,4.3355,4.7311,5.1548,4.225,198.6284
43682,4.3556,4.7334,5.1534,4.2454,198.951
43679,4.3251,4.734,5.1743,4.2647,197.0737
43678,4.3072,4.7317,5.1905,4.2858,193.8213
43677,4.2861,4.7336,5.1685,4.2469,195.4568
43676,4.2847,4.7301,5.1726,4.2441,194.8857
43675,4.2873,4.7278,5.2441,4.2493,193.8432
43672,4.2779,4.7273,5.2769,4.2407,193.3986
43671,4.2986,4.7218,5.2941,4.2434,194.6143
43670,4.2992,4.7194,5.2884,4.2368,194.3204
43669,4.288,4.7204,5.2539,4.2231,192.5647
43668,4.2861,4.7231,5.2496,4.2103,192.958
43665,4.28,4.7315,5.2727,4.2103,194.9091
43664,4.2744,4.7326,5.2538,4.2139,192.5382
43663,4.2663,4.7345,5.2361,4.2201,190.0986
43662,4.2801,4.734,5.2448,4.2129,191.7344
43661,4.2702,4.732,5.2698,4.195,191.0198
43658,4.2588,4.7317,5.268,4.2032,189.9785
43657,4.26,4.7339,5.266,4.1997,192.12
43656,4.2533,4.7337,5.2658,4.2171,189.2788
43655,4.2415,4.7269,5.2585,4.2191,188.3185
43654,4.2422,4.7214,5.2706,4.2054,190.0059
43651,4.2485,4.7245,5.2652,4.1951,190.7588
43650,4.2438,4.724,5.2641,4.1863,190.4751
43649,4.2569,4.7356,5.275,4.1943,192.3192
43648,4.2411,4.7352,5.2831,4.1838,187.4404
43647,4.2502,4.7328,5.2836,4.1804,186.7656
43644,4.2649,4.7351,5.2735,4.1587,188.9215
43643,4.2433,4.7224,5.2788,4.1521,187.3748
43642,4.2531,4.7199,5.2701,4.1541,187.9152
