Dates,CHF,EUR,GBP,USD,GOLD
15.02.2018,4.0332,4.6598,5.2505,3.7337,162.5331
14.02.2018,4.0395,4.6588,5.2328,3.7711,161.464
13.02.2018,4.0413,4.6572,5.2505,3.7738,161.2798
12.02.2018,4.0447,4.6534,5.2557,3.7919,160.9739
09.02.2018,4.0511,4.6561,5.2844,3.7984,160.6002
08.02.2018,4.0203,4.6533,5.2812,3.8025,160.2321
07.02.2018,4.011,4.6538,5.236,3.7705,160.9952
06.02.2018,4.0046,4.6423,5.2263,3.7433,161.675
05.02.2018,3.9975,4.6347,5.2467,3.717,159.8479
02.02.2018,4.0065,4.6526,5.3,3.7266,161.1758
01.02.2018,4.0156,4.6551,5.3308,3.7443,161.2527
31.01.2018,4.0166,4.6582,5.2952,3.7442,161.6102
30.01.2018,4.0104,4.6474,5.2724,3.7416,161.8384
29.01.2018,4.0046,4.654,5.2844,3.7472,162.4116
26.01.2018,4.0093,4.6658,5.3342,3.7436,163.0327
25.01.2018,3.9914,4.6665,5.3626,3.7595,164.3647
23.01.2018,3.9611,4.6679,5.3186,3.8116,163.7611
22.01.2018,3.9621,4.6656,5.2916,3.8059,163.1592
19.01.2018,3.9727,4.6614,5.2814,3.7984,163.082
18.01.2018,3.9608,4.6514,5.2713,3.8054,162.6746
17.01.2018,3.9531,4.6573,5.2524,3.8067,163.7883
16.01.2018,3.9533,4.6599,5.2494,3.8182,163.5981
15.01.2018,3.9178,4.6256,5.1993,3.7686,162.675
12.01.2018,3.9408,4.6377,5.2103,3.8247,163.814
11.01.2018,3.9655,4.6374,5.2367,3.8821,164.6666
10.01.2018,3.9618,4.6434,5.2409,3.87,164.4557
09.01.2018,3.9718,4.6571,5.2832,3.9039,165.06
08.01.2018,3.9504,4.6348,5.2288,3.8598,163.9172
05.01.2018,3.9394,4.6365,5.209,3.8484,163.0121
04.01.2018,3.9389,4.6304,5.2074,3.8425,162.2684
03.01.2018,3.9623,4.6412,5.2425,3.8603,163.1042
